"","X","Invoice","StockCode","Description","Quantity","InvoiceDate","Price","Customer.ID","Country","Revenue"
"81",871305,567180,"22632","HAND WARMER RED RETROSPOT",2,"2011-09-18 14:56:00",2.1,17802,"United Kingdom",4.2
"82",817021,562460,"23201","JUMBO BAG ALPHABET",1,"2011-08-05 11:19:00",2.08,17841,"United Kingdom",2.08
"83",833196,563926,"21221","SET/4 BADGES CUTE CREATURES",10,"2011-08-21 14:42:00",1.25,12553,"France",12.5
"84",115992,500381,"85206B","PINK FELT EASTER EGG BASKET",6,"2010-03-08 10:19:00",1.65,13148,"United Kingdom",9.9
"85",6836,490002,"17164D","ASS COL SMALL SAND FROG P'WEIGHT",4,"2009-12-03 11:46:00",0.42,17322,"United Kingdom",1.68
"86",11617,490312,"22139","RETRO SPOT TEA SET CERAMIC 11 PC ",4,"2009-12-04 15:16:00",4.95,17961,"United Kingdom",19.8
"87",874249,567470,"85123A","WHITE HANGING HEART T-LIGHT HOLDER",15,"2011-09-20 12:39:00",2.95,16624,"United Kingdom",44.25
"88",507809,536813,"35957","SMALLFOLKART BAUBLE CHRISTMAS DEC",48,"2010-12-02 16:59:00",0.42,15646,"United Kingdom",20.16
"89",97731,498564,"21865","PINK UNION JACK  PASSPORT COVER ",1,"2010-02-21 12:25:00",2.1,14505,"United Kingdom",2.1
"90",937159,572227,"23395","BELLE JARDINIERE CUSHION COVER",2,"2011-10-21 14:01:00",3.75,15051,"United Kingdom",7.5
"91",789163,560033,"22910","PAPER CHAIN KIT VINTAGE CHRISTMAS",6,"2011-07-14 13:28:00",2.95,12388,"Australia",17.7
"92",942431,572567,"22416","SET OF 36 DOILIES SPACEBOY DESIGN ",12,"2011-10-25 10:27:00",1.45,12398,"Switzerland",17.4
"93",555673,538852,"22722","SET OF 6 SPICE TINS PANTRY DESIGN",1,"2010-12-14 13:33:00",3.95,17372,"United Kingdom",3.95
"94",113361,500252,"22417","PACK OF 60 SPACEBOY CAKE CASES",48,"2010-03-05 13:06:00",0.55,15607,"United Kingdom",26.4
"95",818600,562581,"23237","SET OF 4 KNICK KNACK TINS LEAF",2,"2011-08-07 13:43:00",4.15,15860,"United Kingdom",8.3
"96",329464,521496,"22757","LARGE RED BABUSHKA NOTEBOOK ",12,"2010-09-06 14:27:00",1.25,12510,"Spain",15
"97",559958,539395,"22752","SET 7 BABUSHKA NESTING BOXES",6,"2010-12-17 11:52:00",8.5,12471,"Germany",51
"98",496403,535815,"85152","HAND OVER THE CHOCOLATE   SIGN ",2,"2010-11-28 15:25:00",2.1,16356,"United Kingdom",4.2
"99",242346,512847,"84837","WHITE SWEETHEARTS CABINET 4 DRAWERS",1,"2010-06-18 11:40:00",12.75,18170,"United Kingdom",12.75
"100",189228,507376,"21056","DOCTOR'S BAG SOFT TOY",1,"2010-05-09 11:29:00",8.95,13979,"United Kingdom",8.95
"101",920496,570964,"23320","GIANT 50'S CHRISTMAS CRACKER",12,"2011-10-13 11:50:00",2.89,12766,"Portugal",34.68
"102",1058531,581006,"23209","LUNCH BAG VINTAGE DOILY ",10,"2011-12-07 08:45:00",1.65,14911,"EIRE",16.5
"103",873722,567385,"22950","36 DOILIES VINTAGE CHRISTMAS",288,"2011-09-20 10:27:00",1.45,14866,"United Kingdom",417.6
"104",279164,516567,"21410","COUNTRY COTTAGE  DOORSTOP GREEN",2,"2010-07-21 12:39:00",4.25,16529,"United Kingdom",8.5
"105",411607,528742,"21154","RED RETROSPOT OVEN GLOVE ",6,"2010-10-24 14:11:00",1.25,13118,"United Kingdom",7.5
"106",334580,522052,"22666","RECIPE BOX PANTRY YELLOW DESIGN",6,"2010-09-10 14:52:00",2.95,13319,"United Kingdom",17.7
"107",166242,505142,"21175","GIN + TONIC DIET METAL SIGN",12,"2010-04-20 11:19:00",2.1,17138,"United Kingdom",25.2
"108",695625,551281,"20723","STRAWBERRY CHARLOTTE BAG",10,"2011-04-27 13:31:00",0.85,13571,"United Kingdom",8.5
"109",576545,540640,"85099B","JUMBO BAG RED RETROSPOT",3,"2011-01-10 12:36:00",1.95,14527,"United Kingdom",5.85
"110",723613,554015,"20724","RED RETROSPOT CHARLOTTE BAG",10,"2011-05-20 13:14:00",0.85,17644,"United Kingdom",8.5
"111",61419,494866,"22262","FELT EGG COSY CHICKEN",1,"2010-01-19 11:20:00",0.85,16253,"United Kingdom",0.85
"112",982406,575726,"20727","LUNCH BAG  BLACK SKULL.",1,"2011-11-10 19:12:00",1.65,16791,"United Kingdom",1.65
"113",192212,507640,"22558","CLOTHES PEGS RETROSPOT PACK 24 ",12,"2010-05-10 14:58:00",1.25,13319,"United Kingdom",15
"114",701139,551982,"85099B","JUMBO BAG RED RETROSPOT",2,"2011-05-05 13:56:00",2.08,15023,"United Kingdom",4.16
"115",682721,550196,"84991","60 TEATIME FAIRY CAKE CASES",6,"2011-04-15 10:09:00",0.55,14796,"United Kingdom",3.3
"116",691348,550834,"21977","PACK OF 60 PINK PAISLEY CAKE CASES",2,"2011-04-21 10:51:00",0.55,14730,"United Kingdom",1.1
"117",33426,492204,"21977","PACK OF 60 PINK PAISLEY CAKE CASES",24,"2009-12-15 16:28:00",0.55,15785,"United Kingdom",13.2
"118",473642,534003,"85018D","YULETIDE IMAGES S/6 PAPER BOXES",5,"2010-11-19 14:27:00",2.55,17589,"United Kingdom",12.75
"119",99637,498762,"16161E","WRAP BOUDOIR ",50,"2010-02-22 17:10:00",0.1,14081,"United Kingdom",5
"120",135532,502327,"22283","6 EGG HOUSE PAINTED WOOD",4,"2010-03-24 10:30:00",7.95,13252,"United Kingdom",31.8
"121",1031009,579091,"23202","JUMBO BAG VINTAGE LEAF",10,"2011-11-28 10:49:00",2.08,14893,"United Kingdom",20.8
"122",638704,545928,"71279","PINK GLASS CANDLEHOLDER",6,"2011-03-08 11:59:00",2.95,14407,"United Kingdom",17.7
"123",636468,545708,"84879","ASSORTED COLOUR BIRD ORNAMENT",8,"2011-03-07 09:39:00",1.69,14915,"United Kingdom",13.52
"124",958555,573904,"23353","6 GIFT TAGS VINTAGE CHRISTMAS ",3,"2011-11-01 14:54:00",0.83,14505,"United Kingdom",2.49
"125",380429,526028,"20725","LUNCH BAG RED RETROSPOT",1,"2010-10-08 11:45:00",1.65,16549,"United Kingdom",1.65
"126",319232,520508,"84782C","GREEN 3 TIER GLASS PLATE STAND",8,"2010-08-26 13:00:00",3.95,13802,"United Kingdom",31.6
"127",607292,543179,"22268","EASTER DECORATION SITTING BUNNY",1,"2011-02-04 10:31:00",0.85,12754,"Japan",0.85
"128",460428,532976,"21644","ASSORTED TUTTI FRUTTI HEART BOX",12,"2010-11-15 13:24:00",1.25,16919,"United Kingdom",15
"129",926727,571433,"22966","GINGERBREAD MAN COOKIE CUTTER",12,"2011-10-17 13:19:00",1.25,13015,"United Kingdom",15
"130",183200,506821,"85214","TUB 24 PINK FLOWER PEGS",12,"2010-05-04 12:51:00",1.65,17644,"United Kingdom",19.8
"131",1059595,581133,"22754","SMALL RED BABUSHKA NOTEBOOK ",24,"2011-12-07 12:55:00",0.21,14904,"United Kingdom",5.04
"132",254710,513956,"47556B","TEA TIME TEA TOWELS ",8,"2010-06-29 14:49:00",2.95,15808,"United Kingdom",23.6
"133",695467,551274,"21770","OPEN CLOSED METAL SIGN",2,"2011-04-27 12:57:00",4.95,14235,"United Kingdom",9.9
"134",878502,567720,"85049E","SCANDINAVIAN REDS RIBBONS",12,"2011-09-22 10:37:00",1.25,14911,"EIRE",15
"135",308502,519508,"21704","BAG 250g SWIRLY MARBLES",12,"2010-08-17 15:46:00",0.85,15072,"United Kingdom",10.2
"136",209554,509601,"22382","LUNCH BAG SPACEBOY DESIGN ",1,"2010-05-24 16:08:00",1.65,13201,"United Kingdom",1.65
"137",17930,490899,"84032B","CHARLIE + LOLA RED HOT WATER BOTTLE",6,"2009-12-08 13:04:00",2.95,16732,"United Kingdom",17.7
"138",868884,566951,"22113","GREY HEART HOT WATER BOTTLE",4,"2011-09-15 16:36:00",4.25,17293,"United Kingdom",17
"139",369725,525082,"21495","SKULLS AND CROSSBONES WRAP",25,"2010-10-03 15:48:00",0.42,14455,"United Kingdom",10.5
"140",229215,511543,"85152","HAND OVER THE CHOCOLATE   SIGN ",2,"2010-06-08 17:29:00",2.1,18214,"United Kingdom",4.2
"141",859810,566242,"23301","GARDENERS KNEELING PAD KEEP CALM ",12,"2011-09-11 11:56:00",1.65,15502,"United Kingdom",19.8
"142",515936,537405,"85045","GREEN CHRISTMAS TREE STRING 20LIGHT",1,"2010-12-06 14:51:00",4.95,17841,"United Kingdom",4.95
"143",691455,550836,"22788","BROCANTE COAT RACK",1,"2011-04-21 10:55:00",9.95,14759,"United Kingdom",9.95
"144",782455,559507,"84755","COLOUR GLASS T-LIGHT HOLDER HANGING",8,"2011-07-08 15:22:00",0.65,15920,"United Kingdom",5.2
"145",89447,497876,"85062","PEARL CRYSTAL PUMPKIN T-LIGHT HLDR",12,"2010-02-14 11:04:00",1.65,13050,"United Kingdom",19.8
"146",640588,546107,"22021","BLUE FELT EASTER EGG BASKET",5,"2011-03-09 12:33:00",1.65,17238,"United Kingdom",8.25
"147",57369,494512,"82582","AREA PATROLLED METAL SIGN",12,"2010-01-15 09:10:00",2.1,14755,"United Kingdom",25.2
"148",806255,561502,"23034","DRAWER KNOB CERAMIC BLACK",12,"2011-07-27 14:14:00",1.45,14305,"United Kingdom",17.4
"149",435825,530999,"71477","COLOUR GLASS. STAR T-LIGHT HOLDER",8,"2010-11-05 11:25:00",3.25,14911,"EIRE",26
"150",137915,502613,"21172","PARTY METAL SIGN ",1,"2010-03-25 14:22:00",1.45,14535,"United Kingdom",1.45
"151",837354,564328,"20712","JUMBO BAG WOODLAND ANIMALS",10,"2011-08-24 13:42:00",2.08,12662,"Germany",20.8
"152",314408,519935,"22674","FRENCH TOILET SIGN BLUE METAL",5,"2010-08-22 16:19:00",1.25,17231,"United Kingdom",6.25
"153",365856,524864,"22947","WOODEN ADVENT CALENDAR RED",4,"2010-10-01 09:02:00",16.95,14564,"Channel Islands",67.8
"154",295838,518219,"21791","VINTAGE HEADS AND TAILS CARD GAME ",12,"2010-08-05 13:21:00",1.25,16105,"United Kingdom",15
"155",277300,516327,"21982","PACK OF 12 SUKI TISSUES ",12,"2010-07-19 15:58:00",0.29,17589,"United Kingdom",3.48
"156",738119,555501,"23174","REGENCY SUGAR BOWL GREEN",2,"2011-06-03 15:37:00",4.15,15508,"United Kingdom",8.3
"157",464664,533294,"16161P","WRAP ENGLISH ROSE ",25,"2010-11-16 16:01:00",0.42,13081,"United Kingdom",10.5
"158",152229,503867,"21912","VINTAGE SNAKES & LADDERS",4,"2010-04-08 11:16:00",3.75,13712,"United Kingdom",15
"159",328630,521470,"22569","FELTCRAFT CUSHION BUTTERFLY",6,"2010-09-06 12:04:00",3.75,16246,"United Kingdom",22.5
"160",478950,534364,"22727","ALARM CLOCK BAKELIKE RED ",4,"2010-11-22 11:58:00",3.75,12681,"France",15
"161",471750,533821,"22355","CHARLOTTE BAG SUKI DESIGN",20,"2010-11-19 09:35:00",0.85,12562,"France",17
"162",768388,558383,"82484","WOOD BLACK BOARD ANT WHITE FINISH",2,"2011-06-29 08:58:00",7.95,18075,"United Kingdom",15.9
"163",572698,540397,"84406B","CREAM CUPID HEARTS COAT HANGER",1,"2011-01-06 18:57:00",3.25,13187,"United Kingdom",3.25
"164",356474,524002,"22406","MONEY BOX KINGS CHOICE DESIGN",12,"2010-09-26 16:03:00",1.25,13281,"United Kingdom",15
"165",193491,507735,"84925F","PSYCHEDELIC WALL THERMOMETER",5,"2010-05-11 12:10:00",2.55,17321,"United Kingdom",12.75
"166",1010019,577533,"82581","TOILET METAL SIGN",1,"2011-11-20 14:04:00",0.55,16877,"United Kingdom",0.55
"167",939989,572464,"23000","TRAVEL CARD WALLET TRANSPORT",1,"2011-10-24 13:08:00",0.42,17081,"United Kingdom",0.42
"168",257963,514319,"47568","ENGLISH ROSE DESIGN PEG BAG",6,"2010-07-01 13:46:00",2.1,12576,"Poland",12.6
"169",391777,527064,"71477","COLOUR GLASS. STAR T-LIGHT HOLDER",24,"2010-10-14 13:54:00",2.75,16176,"United Kingdom",66
"170",610217,543447,"21586","KINGS CHOICE GIANT TUBE MATCHES",12,"2011-02-08 12:01:00",2.55,16265,"United Kingdom",30.6
"171",295535,518159,"16169M","WRAP DAISY CARPET ",50,"2010-08-05 10:38:00",0.19,13239,"United Kingdom",9.5
"172",298595,518477,"79191B","RETRO PLASTIC POLKA TRAY",1,"2010-08-09 12:05:00",0.85,15013,"United Kingdom",0.85
"173",1029519,578942,"23571","TRADITIONAL NAUGHTS & CROSSES",4,"2011-11-27 13:29:00",1.65,17288,"United Kingdom",6.6
"174",498337,535974,"22158","3 HEARTS HANGING DECORATION RUSTIC",1,"2010-11-29 12:49:00",2.95,16413,"United Kingdom",2.95
"175",998041,576690,"22898","CHILDRENS APRON APPLES DESIGN",2,"2011-11-16 12:19:00",1.95,15900,"United Kingdom",3.9
"176",64757,495183,"20914","SET/5 RED SPOTTY LID GLASS BOWLS",6,"2010-01-21 13:48:00",2.95,15296,"United Kingdom",17.7
"177",58884,494668,"84991","60 TEATIME FAIRY CAKE CASES",24,"2010-01-17 14:56:00",0.55,13616,"United Kingdom",13.2
"178",152640,503895,"84993B","75 BLACK PETIT FOUR CASES",1,"2010-04-08 11:59:00",0.42,13278,"United Kingdom",0.42
"179",467616,533478,"85230G","ORANGE VOTIVE CANDLE",24,"2010-11-17 12:58:00",0.29,15402,"United Kingdom",6.96
"180",862769,566443,"22819","BIRTHDAY CARD, RETRO SPOT",12,"2011-09-12 15:31:00",0.42,17071,"United Kingdom",5.04
"181",838893,564495,"22841","ROUND CAKE TIN VINTAGE GREEN",2,"2011-08-25 14:21:00",7.95,17719,"United Kingdom",15.9
"182",487469,534890,"22311","OFFICE MUG WARMER BLACK+SILVER ",1,"2010-11-24 15:03:00",2.95,16204,"United Kingdom",2.95
"183",765997,558105,"22652","TRAVEL SEWING KIT",3,"2011-06-26 14:54:00",1.65,15644,"United Kingdom",4.95
"184",406605,528336,"22600","CHRISTMAS RETROSPOT STAR WOOD",6,"2010-10-21 13:57:00",0.85,15995,"United Kingdom",5.1
"185",891089,568712,"23211","RED ROCKING HORSE HAND PAINTED",4,"2011-09-28 15:50:00",1.25,17841,"United Kingdom",5
"186",103896,499303,"21870","I CAN ONLY PLEASE ONE PERSON MUG",12,"2010-02-26 08:46:00",1.25,13089,"United Kingdom",15
"187",718604,553515,"22413","METAL SIGN TAKE IT OR LEAVE IT ",2,"2011-05-17 14:03:00",2.95,17515,"United Kingdom",5.9
"188",214506,510180,"20674","GREEN SPOTTY BOWL",5,"2010-05-27 15:28:00",1.25,17238,"United Kingdom",6.25
"189",130266,501806,"21918","SET 12 KIDS COLOUR  CHALK STICKS",12,"2010-03-19 14:02:00",0.42,17673,"United Kingdom",5.04
"190",985825,575908,"22553","PLASTERS IN TIN SKULLS",12,"2011-11-11 15:54:00",1.65,13091,"United Kingdom",19.8
"191",1045126,580160,"22728","ALARM CLOCK BAKELIKE PINK",8,"2011-12-02 10:47:00",3.75,12700,"France",30
"192",1041615,579872,"23508","MINI PLAYING CARDS DOLLY GIRL ",14,"2011-11-30 16:54:00",0.42,14085,"United Kingdom",5.88
"193",1024704,578662,"23172","REGENCY TEA PLATE PINK",1,"2011-11-24 16:51:00",1.65,17516,"United Kingdom",1.65
"194",117364,500541,"21410","COUNTRY COTTAGE  DOORSTOP GREEN",3,"2010-03-08 15:26:00",4.25,18245,"United Kingdom",12.75
"195",939303,572324,"23064","CINDERELLA CHANDELIER ",40,"2011-10-24 09:52:00",10,14607,"United Kingdom",400
"196",984557,575867,"22728","ALARM CLOCK BAKELIKE PINK",2,"2011-11-11 12:44:00",3.75,15034,"United Kingdom",7.5
"197",443624,531726,"22736","RIBBON REEL MAKING SNOWMEN ",5,"2010-11-09 12:06:00",1.65,17274,"United Kingdom",8.25
"198",312723,519832,"21982","PACK OF 12 SUKI TISSUES ",4,"2010-08-20 15:14:00",0.29,16401,"United Kingdom",1.16
"199",64701,495178,"22097","SWALLOW SQUARE TISSUE BOX",4,"2010-01-21 13:33:00",1.25,13735,"United Kingdom",5
"200",960110,574054,"48185","DOORMAT FAIRY CAKE",4,"2011-11-02 14:07:00",8.25,18104,"United Kingdom",33
"201",270967,515674,"21844","RED RETROSPOT MUG",6,"2010-07-14 10:58:00",2.95,13013,"United Kingdom",17.7
"202",355705,523964,"22294","HEART FILIGREE DOVE  SMALL",24,"2010-09-26 13:09:00",1.25,16709,"United Kingdom",30
"203",290820,517724,"82486","WOOD S/3 CABINET ANT WHITE FINISH",2,"2010-08-01 13:07:00",7.95,15547,"United Kingdom",15.9
