Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Revenue,week,month,year
568872,22550,HOLIDAY FUN LUDO,4,2011-09-29T12:12:00Z,3.75,12372,Denmark,15,39,9,2011
561807,23298,SPOTTY BUNTING,6,2011-07-29T15:02:00Z,4.95,17491,United Kingdom,29.700000000000003,30,7,2011
543111,22379,RECYCLING BAG RETROSPOT,4,2011-02-03T12:44:00Z,2.1,15719,United Kingdom,8.4,5,2,2011
577504,22379,RECYCLING BAG RETROSPOT,6,2011-11-20T12:36:00Z,2.1,14159,United Kingdom,12.6,47,11,2011
551956,21385,IVORY HANGING DECORATION  HEART,2,2011-05-05T12:22:00Z,0.85,15021,United Kingdom,1.7,18,5,2011
504709,22540,MINI JIGSAW CIRCUS PARADE,48,2010-04-16T09:27:00Z,0.42,12437,France,20.16,16,4,2010
509389,22085,PAPER CHAIN KIT SKULLS,1,2010-05-21T17:19:00Z,2.95,13174,United Kingdom,2.95,21,5,2010
513972,21035,SET/2 RED SPOTTY TEA TOWELS,1,2010-06-29T16:13:00Z,2.95,15532,United Kingdom,2.95,26,6,2010
532757,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1,2010-11-14T13:42:00Z,8.5,17288,United Kingdom,8.5,46,11,2010
506377,21033,JUMBO BAG CHARLIE AND LOLA TOYS,2,2010-04-29T12:16:00Z,2.95,14527,United Kingdom,5.9,17,4,2010
522059,20963,APPLE BATH SPONGE,2,2010-09-10T15:51:00Z,1.25,15856,United Kingdom,2.5,37,9,2010
537626,20782,CAMOUFLAGE EAR MUFF HEADPHONES,6,2010-12-07T14:57:00Z,5.49,12347,Iceland,32.94,49,12,2010
522622,22197,SMALL POPCORN HOLDER,16,2010-09-15T15:32:00Z,0.85,17589,United Kingdom,13.6,37,9,2010
521896,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,2010-09-09T12:19:00Z,2.55,12682,France,15.3,36,9,2010
521221,82580,BATHROOM METAL SIGN,12,2010-09-03T10:31:00Z,0.55,16353,United Kingdom,6.6000000000000005,36,9,2010
569488,22187,GREEN CHRISTMAS TREE CARD HOLDER,3,2011-10-04T13:10:00Z,1.95,16440,United Kingdom,5.85,40,10,2011
538156,22750,FELTCRAFT PRINCESS LOLA DOLL,3,2010-12-09T16:53:00Z,3.75,15555,United Kingdom,11.25,49,12,2010
524618,21121,SET/10 RED SPOTTY PARTY CANDLES,24,2010-09-30T10:29:00Z,1.25,14911,EIRE,30,39,9,2010
517960,22642,SET OF 4 NAPKIN CHARMS STARS,6,2010-08-03T12:32:00Z,2.55,14841,United Kingdom,15.3,31,8,2010
535591,22679,FRENCH BLUE METAL DOOR SIGN 4,10,2010-11-26T16:22:00Z,1.25,16825,United Kingdom,12.5,48,11,2010
543907,47504K,ENGLISH ROSE GARDEN SECATEURS,1,2011-02-14T12:16:00Z,1.95,17346,United Kingdom,1.95,7,2,2011
569555,22077,6 RIBBONS RUSTIC CHARM,12,2011-10-05T08:17:00Z,1.95,17728,United Kingdom,23.4,40,10,2011
559898,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,1,2011-07-13T12:18:00Z,6.75,16225,United Kingdom,6.75,28,7,2011
520700,22429,ENAMEL MEASURING JUG CREAM,1,2010-08-29T11:31:00Z,4.25,15976,United Kingdom,4.25,35,8,2010
518404,82616A,BUBBLE GUM SCARF KNITTING KIT,1,2010-08-08T13:55:00Z,2.95,16115,United Kingdom,2.95,32,8,2010
527042,22759,SET OF 3 NOTEBOOKS IN PARCEL,12,2010-10-14T12:31:00Z,1.65,14911,EIRE,19.799999999999997,41,10,2010
577774,23422,PANTRY HOOK BALLOON WHISK,1,2011-11-21T15:57:00Z,2.08,16712,United Kingdom,2.08,47,11,2011
555501,23160,REGENCY TEA SPOON,36,2011-06-03T15:37:00Z,1.25,15508,United Kingdom,45,22,6,2011
541123,22399,MAGNETS PACK OF 4 CHILDHOOD MEMORY,12,2011-01-14T09:52:00Z,1.25,13385,United Kingdom,15,2,1,2011
564727,22556,PLASTERS IN TIN CIRCUS PARADE,1,2011-08-28T12:31:00Z,1.65,16686,United Kingdom,1.65,35,8,2011
578686,22423,REGENCY CAKESTAND 3 TIER,1,2011-11-25T09:18:00Z,12.75,13050,United Kingdom,12.75,47,11,2011
500941,84837,WHITE SWEETHEARTS CABINET 4 DRAWERS,1,2010-03-11T11:54:00Z,12.75,13823,United Kingdom,12.75,10,3,2010
504386,22382,LUNCH BAG SPACEBOY DESIGN,10,2010-04-13T11:38:00Z,1.65,14057,United Kingdom,16.5,15,4,2010
535961,85150,LADIES & GENTLEMEN METAL SIGN,1,2010-11-29T12:36:00Z,2.55,18034,United Kingdom,2.55,48,11,2010
563714,21394,RED POLKADOT BEAKER,48,2011-08-18T15:51:00Z,0.39,14565,United Kingdom,18.72,33,8,2011
558367,22630,DOLLY GIRL LUNCH BOX,3,2011-06-28T15:31:00Z,1.95,16550,United Kingdom,5.85,26,6,2011
576857,22072,RED RETROSPOT TEA CUP AND SAUCER,1,2011-11-16T15:52:00Z,3.75,12748,United Kingdom,3.75,46,11,2011
520212,37509,NEW ENGLAND MUG W GIFT BOX,2,2010-08-24T17:21:00Z,2.55,16033,United Kingdom,5.1,34,8,2010
539607,21865,PINK UNION JACK  PASSPORT COVER,6,2010-12-20T14:10:00Z,2.1,12681,France,12.6,51,12,2010
518477,79191C,RETRO PLASTIC ELEPHANT TRAY,1,2010-08-09T12:05:00Z,0.85,15013,United Kingdom,0.85,32,8,2010
523461,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,6,2010-09-22T11:32:00Z,2.75,17850,United Kingdom,16.5,38,9,2010
578461,22946,WOODEN ADVENT CALENDAR CREAM,1,2011-11-24T12:30:00Z,16.95,12748,United Kingdom,16.95,47,11,2011
564328,22631,CIRCUS PARADE LUNCH BOX,12,2011-08-24T13:42:00Z,1.95,12662,Germany,23.4,34,8,2011
523945,22384,LUNCH BAG PINK POLKADOTS,10,2010-09-26T11:22:00Z,1.65,16401,United Kingdom,16.5,39,9,2010
548631,22595,GINGHAM HEART DECORATION,5,2011-04-01T12:24:00Z,0.85,13184,United Kingdom,4.25,13,4,2011
538183,37475,SET/4 COLOURFUL MIXING BOWLS,4,2010-12-10T10:21:00Z,9.95,16265,United Kingdom,39.8,50,12,2010
502906,22061,LARGE CAKE STAND  HANGING STRAWBERY,72,2010-03-29T12:52:00Z,7.26,18102,United Kingdom,522.72,13,3,2010
536796,21357,TOAST ITS - DINOSAUR,1,2010-12-02T15:46:00Z,1.25,15574,United Kingdom,1.25,48,12,2010
540496,22728,ALARM CLOCK BAKELIKE PINK,9,2011-01-07T17:18:00Z,3.75,15485,United Kingdom,33.75,1,1,2011
580105,21481,FAWN BLUE HOT WATER BOTTLE,8,2011-12-01T15:24:00Z,3.75,17675,United Kingdom,30,48,12,2011
566760,21770,OPEN CLOSED METAL SIGN,1,2011-09-14T16:36:00Z,4.95,15272,United Kingdom,4.95,37,9,2011
505177,84555A,YELLOW VW BEETLE CERAMIC MONEY BOX,2,2010-04-20T13:43:00Z,2.95,13042,United Kingdom,5.9,16,4,2010
557525,22437,SET OF 9 BLACK SKULL BALLOONS,20,2011-06-21T09:26:00Z,0.85,12759,Netherlands,17,25,6,2011
559112,23173,REGENCY TEAPOT ROSES,2,2011-07-06T11:59:00Z,9.95,17315,United Kingdom,19.9,27,7,2011
561795,79191C,RETRO PLASTIC ELEPHANT TRAY,12,2011-07-29T13:28:00Z,0.85,12716,France,10.2,30,7,2011
555896,21121,SET/10 RED POLKADOT PARTY CANDLES,6,2011-06-07T16:04:00Z,1.25,15640,United Kingdom,7.5,23,6,2011
493993,82486,WOOD S/3 CABINET ANT WHITE FINISH,6,2010-01-10T12:47:00Z,7.95,13089,United Kingdom,47.7,2,1,2010
503985,20724,RED SPOTTY CHARLOTTE BAG,10,2010-04-09T10:08:00Z,0.85,12468,Germany,8.5,15,4,2010
556240,21989,PACK OF 20 SKULL PAPER NAPKINS,2,2011-06-09T15:55:00Z,0.85,18041,United Kingdom,1.7,23,6,2011
556280,22430,ENAMEL WATERING CAN CREAM,1,2011-06-09T20:03:00Z,4.95,14584,United Kingdom,4.95,23,6,2011
497401,20723,STRAWBERRY CHARLOTTE BAG,10,2010-02-09T13:56:00Z,0.85,13985,United Kingdom,8.5,6,2,2010
574863,22043,CHRISTMAS CARD SCREEN PRINT,24,2011-11-07T12:29:00Z,0.19,15719,United Kingdom,4.5600000000000005,45,11,2011
567526,21524,DOORMAT SPOTTY HOME SWEET HOME,50,2011-09-21T09:06:00Z,7.08,12435,Denmark,354,38,9,2011
546993,22720,SET OF 3 CAKE TINS PANTRY DESIGN,2,2011-03-18T13:19:00Z,4.95,17921,United Kingdom,9.9,11,3,2011
573822,23230,WRAP ALPHABET DESIGN,25,2011-11-01T11:33:00Z,0.42,15527,United Kingdom,10.5,44,11,2011
566408,22336,DOVE DECORATION PAINTED ZINC,22,2011-09-12T13:43:00Z,0.65,16984,United Kingdom,14.3,37,9,2011
512553,85099B,JUMBO BAG RED RETROSPOT,1,2010-06-16T13:52:00Z,1.95,17841,United Kingdom,1.95,24,6,2010
538409,21754,HOME BUILDING BLOCK WORD,2,2010-12-12T11:49:00Z,5.95,17236,United Kingdom,11.9,50,12,2010
538567,85099F,JUMBO BAG STRAWBERRY,10,2010-12-13T11:23:00Z,1.95,13999,United Kingdom,19.5,50,12,2010
556023,22169,FAMILY ALBUM WHITE PICTURE FRAME,1,2011-06-08T12:21:00Z,8.5,14527,United Kingdom,8.5,23,6,2011
569653,22554,PLASTERS IN TIN WOODLAND ANIMALS,24,2011-10-05T12:52:00Z,1.65,12451,Switzerland,39.599999999999994,40,10,2011
537135,22532,MAGIC DRAWING SLATE LEAP FROG,1,2010-12-05T12:35:00Z,0.42,17059,United Kingdom,0.42,49,12,2010
495365,21563,RED HEART SHAPE LOVE BUCKET,1,2010-01-24T12:15:00Z,2.95,14701,United Kingdom,2.95,4,1,2010
548010,23158,SET OF 5 LUCKY CAT MAGNETS,120,2011-03-29T11:04:00Z,1.85,14646,Netherlands,222,13,3,2011
569396,21693,SMALL HAMMERED SILVER CANDLEPOT,6,2011-10-03T17:48:00Z,2.95,16441,United Kingdom,17.700000000000003,40,10,2011
499498,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-02-28T14:34:00Z,1.69,14396,United Kingdom,13.52,9,2,2010
539320,72816,SET/3 CHRISTMAS DECOUPAGE CANDLES,24,2010-12-16T19:16:00Z,1.25,14911,EIRE,30,50,12,2010
540458,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,2011-01-07T12:28:00Z,2.95,12501,Germany,17.700000000000003,1,1,2011
528866,22835,HOT WATER BOTTLE I AM SO POORLY,4,2010-10-25T11:16:00Z,4.65,15955,United Kingdom,18.6,43,10,2010
558565,84993B,75 BLACK PETIT FOUR CASES,2,2011-06-30T13:58:00Z,0.42,14803,United Kingdom,0.84,26,6,2011
536557,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,1,2010-12-01T14:41:00Z,2.95,17841,United Kingdom,2.95,48,12,2010
574702,21259,VICTORIAN SEWING BOX SMALL,2,2011-11-06T13:54:00Z,5.95,15839,United Kingdom,11.9,45,11,2011
542617,22986,GINGHAM ROSE WRAP,25,2011-01-30T15:48:00Z,0.42,17463,United Kingdom,10.5,5,1,2011
513813,85067,CREAM SWEETHEART WALL CABINET,1,2010-06-29T09:52:00Z,18.95,13023,United Kingdom,18.95,26,6,2010
498055,84807,RED POPPY ARTIFICIAL FLOWER,8,2010-02-16T12:11:00Z,1.69,14669,United Kingdom,13.52,7,2,2010
532085,85114A,BLACK ENCHANTED FOREST PLACEMAT,10,2010-11-10T15:20:00Z,1.65,14031,United Kingdom,16.5,45,11,2010
564727,21654,RIDGED GLASS FINGER BOWL,2,2011-08-28T12:31:00Z,0.39,16686,United Kingdom,0.78,35,8,2011
571039,22386,JUMBO BAG PINK POLKADOT,2,2011-10-13T12:59:00Z,2.08,16121,United Kingdom,4.16,41,10,2011
545681,22224,WHITE LOVEBIRD LANTERN,5,2011-03-06T11:28:00Z,2.95,16923,United Kingdom,14.75,10,3,2011
509100,22087,PAPER BUNTING WHITE LACE,2,2010-05-20T11:49:00Z,2.95,17841,United Kingdom,5.9,20,5,2010
530785,22520,CHILDS GARDEN TROWEL BLUE,12,2010-11-04T12:09:00Z,0.85,17702,United Kingdom,10.2,44,11,2010
506107,21259,VICTORIAN SEWING BOX SMALL,1,2010-04-27T13:33:00Z,5.95,16354,United Kingdom,5.95,17,4,2010
528757,22168,ORGANISER WOOD ANTIQUE WHITE,4,2010-10-24T15:28:00Z,8.5,12720,Germany,34,43,10,2010
511270,22384,LUNCH BAG PINK RETROSPOT,4,2010-06-07T13:03:00Z,1.65,14159,United Kingdom,6.6,23,6,2010
533156,21485,RETROSPOT HEART HOT WATER BOTTLE,3,2010-11-16T14:02:00Z,4.95,15434,United Kingdom,14.85,46,11,2010
567184,23313,VINTAGE CHRISTMAS BUNTING,1,2011-09-18T15:41:00Z,4.95,16033,United Kingdom,4.95,38,9,2011
550630,20826,SILVER APERITIF GLASS,72,2011-04-19T14:49:00Z,0.39,14298,United Kingdom,28.08,16,4,2011
508359,22619,SET OF 6 SOLDIER SKITTLES,4,2010-05-14T12:52:00Z,3.75,16836,United Kingdom,15,20,5,2010
570231,47593B,SCOTTIE DOGS BABY BIB,6,2011-10-09T13:44:00Z,0.39,16685,United Kingdom,2.34,41,10,2011
576212,84836,ZINC METAL HEART DECORATION,24,2011-11-14T12:45:00Z,1.25,18082,United Kingdom,30,46,11,2011
535803,21972,SET OF 36 DINOSAUR PAPER DOILIES,1,2010-11-28T14:57:00Z,1.45,14410,United Kingdom,1.45,48,11,2010
549261,22800,ANTIQUE TALL SWIRLGLASS TRINKET POT,2,2011-04-07T12:35:00Z,3.75,14903,United Kingdom,7.5,14,4,2011
515742,21581,SKULLS  DESIGN  COTTON TOTE BAG,6,2010-07-14T13:01:00Z,2.25,15332,Lithuania,13.5,28,7,2010
544646,21528,DAIRY MAID TRADITIONAL TEAPOT,1,2011-02-22T12:06:00Z,6.95,17075,United Kingdom,6.95,8,2,2011
518447,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,6,2010-08-09T11:26:00Z,2.95,17663,United Kingdom,17.700000000000003,32,8,2010
564050,23444,Next Day Carriage,1,2011-08-22T13:32:00Z,15,17160,United Kingdom,15,34,8,2011
512127,21499,BLUE SPOTS  WRAP,25,2010-06-14T08:48:00Z,0.42,13013,United Kingdom,10.5,24,6,2010
581478,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,2011-12-09T08:59:00Z,0.29,17364,United Kingdom,13.919999999999998,49,12,2011
514661,22458,CAST IRON HOOK GARDEN FORK,2,2010-07-05T12:50:00Z,2.55,14701,United Kingdom,5.1,27,7,2010
573375,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2011-10-30T13:42:00Z,11.95,15521,United Kingdom,23.9,44,10,2011
516313,22030,SWALLOWS GREETING CARD,12,2010-07-19T14:24:00Z,0.42,14047,United Kingdom,5.04,29,7,2010
536415,22565,FELTCRAFT HAIRBANDS PINK AND WHITE,3,2010-12-01T11:57:00Z,0.85,12838,United Kingdom,2.55,48,12,2010
566258,22968,ROSE COTTAGE KEEPSAKE BOX,2,2011-09-11T12:45:00Z,9.95,13124,United Kingdom,19.9,37,9,2011
556483,23286,BLUE VINTAGE SPOT BEAKER,5,2011-06-12T13:12:00Z,0.85,14823,United Kingdom,4.25,24,6,2011
563432,22998,TRAVEL CARD WALLET KEEP CALM,6,2011-08-16T12:12:00Z,0.42,16713,United Kingdom,2.52,33,8,2011
518960,22111,SCOTTIE DOG HOT WATER BOTTLE,24,2010-08-12T15:33:00Z,4.25,13078,United Kingdom,102,32,8,2010
507210,21588,RETRO SPOT GIANT  TUBE MATCHES,12,2010-05-06T17:22:00Z,2.55,14156,EIRE,30.6,18,5,2010
558247,72802C,VANILLA SCENT CANDLE JEWELLED BOX,4,2011-06-27T16:46:00Z,4.25,14167,United Kingdom,17,26,6,2011
555637,21080,SET/20 RED RETROSPOT PAPER NAPKINS,12,2011-06-06T12:47:00Z,0.85,12535,France,10.2,23,6,2011
496822,21590,KINGS CHOICE CIGAR BOX MATCHES,24,2010-02-04T10:50:00Z,1.25,13107,United Kingdom,30,5,2,2010
572353,22866,HAND WARMER SCOTTY DOG DESIGN,12,2011-10-24T11:40:00Z,2.1,15215,United Kingdom,25.200000000000003,43,10,2011
544445,15056N,EDWARDIAN PARASOL NATURAL,1,2011-02-20T10:56:00Z,5.95,16746,United Kingdom,5.95,8,2,2011
504139,21724,PANDA AND BUNNIES STICKER SHEET,1,2010-04-11T12:37:00Z,0.85,17769,United Kingdom,0.85,15,4,2010
570888,22082,RIBBON REEL STRIPES DESIGN,10,2011-10-13T10:26:00Z,1.65,17509,United Kingdom,16.5,41,10,2011
542215,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,2011-01-26T12:27:00Z,1.65,12472,Germany,19.799999999999997,4,1,2011
543351,22684,FRENCH BLUE METAL DOOR SIGN 9,10,2011-02-07T13:18:00Z,1.25,15407,United Kingdom,12.5,6,2,2011
513172,22305,COFFEE MUG PINK PAISLEY DESIGN,6,2010-06-22T12:16:00Z,2.55,12785,Portugal,15.3,25,6,2010
565318,22382,LUNCH BAG SPACEBOY DESIGN,20,2011-09-02T13:01:00Z,1.65,12921,United Kingdom,33,35,9,2011
524929,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,100,2010-10-01T11:40:00Z,1.65,16705,United Kingdom,165,40,10,2010
516746,84836,ZINC METAL HEART DECORATION,3,2010-07-22T14:53:00Z,1.25,17177,United Kingdom,3.75,29,7,2010
536464,22619,SET OF 6 SOLDIER SKITTLES,1,2010-12-01T12:23:00Z,3.75,17968,United Kingdom,3.75,48,12,2010
553211,22089,PAPER BUNTING VINTAGE PAISLEY,6,2011-05-16T09:40:00Z,2.95,15358,United Kingdom,17.700000000000003,20,5,2011
521687,20702,PINK PADDED MOBILE,3,2010-09-07T16:45:00Z,4.25,13092,United Kingdom,12.75,36,9,2010
520396,21737,SET 3 WICKER LOG BASKETS,1,2010-08-25T15:58:00Z,19.95,17963,United Kingdom,19.95,34,8,2010
534500,84029E,RED WOOLLY HOTTIE WHITE HEART.,12,2010-11-23T11:13:00Z,3.75,17290,United Kingdom,45,47,11,2010
580719,84946,ANTIQUE SILVER T-LIGHT GLASS,72,2011-12-05T16:54:00Z,1.06,14739,United Kingdom,76.32000000000001,49,12,2011
521973,21447,12 IVORY ROSE PEG PLACE SETTINGS,3,2010-09-09T19:46:00Z,1.25,17366,United Kingdom,3.75,36,9,2010
563953,23203,JUMBO BAG VINTAGE DOILY,10,2011-08-22T10:47:00Z,2.08,16201,United Kingdom,20.8,34,8,2011
568782,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,24,2011-09-29T08:53:00Z,0.29,13985,United Kingdom,6.959999999999999,39,9,2011
575514,21746,SMALL RED RETROSPOT WINDMILL,12,2011-11-10T10:40:00Z,1.25,12541,Spain,15,45,11,2011
509956,16016,LARGE CHINESE STYLE SCISSOR,10,2010-05-26T12:49:00Z,0.85,14715,United Kingdom,8.5,21,5,2010
504649,22423,REGENCY CAKESTAND 3 TIER,1,2010-04-15T14:48:00Z,12.75,17709,United Kingdom,12.75,15,4,2010
544893,22994,TRAVEL CARD WALLET RETROSPOT,24,2011-02-24T12:01:00Z,0.42,17865,United Kingdom,10.08,8,2,2011
555363,20819,SILVER TEDDY BEAR,1,2011-06-02T14:15:00Z,3.75,14453,United Kingdom,3.75,22,6,2011
542929,21621,VINTAGE UNION JACK BUNTING,2,2011-02-02T10:34:00Z,8.5,17811,United Kingdom,17,5,2,2011
534763,22139,RETROSPOT TEA SET CERAMIC 11 PC,24,2010-11-24T10:21:00Z,4.25,17511,United Kingdom,102,47,11,2010
538651,21244,BLUE POLKADOT PLATE,1,2010-12-13T15:07:00Z,1.69,15311,United Kingdom,1.69,50,12,2010
564963,22147,FELTCRAFT BUTTERFLY HEARTS,12,2011-08-31T14:52:00Z,1.45,15582,United Kingdom,17.4,35,8,2011
524337,85169A,IVORY LOVE BIRD CANDLE,2,2010-09-28T15:46:00Z,1.25,14410,United Kingdom,2.5,39,9,2010
545869,22168,ORGANISER WOOD ANTIQUE WHITE,2,2011-03-07T14:45:00Z,8.5,17162,United Kingdom,17,10,3,2011
537418,21889,WOODEN BOX OF DOMINOES,1,2010-12-06T15:13:00Z,1.25,17884,United Kingdom,1.25,49,12,2010
576259,23239,SET OF 4 KNICK KNACK TINS POPPIES,6,2011-11-14T14:18:00Z,4.15,12957,United Kingdom,24.9,46,11,2011
571183,21162,TOXIC AREA  DOOR HANGER,4,2011-10-14T11:08:00Z,0.39,14796,United Kingdom,1.56,41,10,2011
576600,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,8,2011-11-15T15:08:00Z,0.65,18181,United Kingdom,5.2,46,11,2011
573123,22941,CHRISTMAS LIGHTS 10 REINDEER,2,2011-10-27T16:23:00Z,8.5,13654,United Kingdom,17,43,10,2011
500712,84507B,STRIPES DESIGN MONKEY DOLL,6,2010-03-09T14:14:00Z,2.55,13089,United Kingdom,15.3,10,3,2010
511434,20931,BLUE POT PLANT CANDLE,1,2010-06-08T11:50:00Z,3.75,17201,United Kingdom,3.75,23,6,2010
504640,22191,EAU DE NIL DINER WALL CLOCK,1,2010-04-15T14:14:00Z,8.5,17032,United Kingdom,8.5,15,4,2010
536732,21239,PINK  POLKADOT CUP,8,2010-12-02T12:47:00Z,0.85,15544,United Kingdom,6.8,48,12,2010
574590,22726,ALARM CLOCK BAKELIKE GREEN,2,2011-11-06T10:44:00Z,3.75,18077,United Kingdom,7.5,45,11,2011
531776,22736,RIBBON REEL MAKING SNOWMEN,10,2010-11-09T14:42:00Z,1.65,14911,EIRE,16.5,45,11,2010
528705,22189,CREAM HEART CARD HOLDER,2,2010-10-24T13:07:00Z,3.95,13137,United Kingdom,7.9,43,10,2010
498124,20718,RED SPOTTY SHOPPER BAG,1,2010-02-16T15:47:00Z,1.25,17931,United Kingdom,1.25,7,2,2010
552544,23206,LUNCH BAG APPLE DESIGN,10,2011-05-10T10:29:00Z,1.65,13320,United Kingdom,16.5,19,5,2011
508620,22528,GARDENERS KNEELING PAD,12,2010-05-17T13:44:00Z,1.25,17442,United Kingdom,15,20,5,2010
553045,21078,SET/20 STRAWBERRY PAPER NAPKINS,96,2011-05-13T09:33:00Z,0.72,12770,Japan,69.12,19,5,2011
572216,20973,12 PENCIL SMALL TUBE WOODLAND,2,2011-10-21T12:56:00Z,0.65,16015,United Kingdom,1.3,42,10,2011
579002,85049A,TRADITIONAL CHRISTMAS RIBBONS,1,2011-11-27T16:27:00Z,1.25,14093,United Kingdom,1.25,48,11,2011
546912,22464,HANGING METAL HEART LANTERN,6,2011-03-17T20:12:00Z,1.65,15861,United Kingdom,9.9,11,3,2011
550196,22055,MINI CAKE STAND  HANGING STRAWBERY,1,2011-04-15T10:09:00Z,1.65,14796,United Kingdom,1.65,15,4,2011
525037,22714,CARD BIRTHDAY COWBOY,48,2010-10-03T12:40:00Z,0.42,14911,EIRE,20.16,40,10,2010
544102,22505,MEMO BOARD COTTAGE DESIGN,1,2011-02-16T10:32:00Z,4.95,14665,United Kingdom,4.95,7,2,2011
519010,21156,RETROSPOT CHILDRENS APRON,3,2010-08-12T19:41:00Z,1.95,17323,United Kingdom,5.85,32,8,2010
511303,22621,TRADITIONAL KNITTING NANCY,3,2010-06-07T15:40:00Z,1.45,15720,United Kingdom,4.35,23,6,2010
542788,22402,MAGNETS PACK OF 4 VINTAGE COLLAGE,12,2011-02-01T10:37:00Z,1.25,16570,United Kingdom,15,5,2,2011
523908,22026,BANQUET BIRTHDAY  CARD,24,2010-09-24T15:35:00Z,0.42,16952,United Kingdom,10.08,39,9,2010
500326,72133,COLUMBIAN CANDLE RECTANGLE,2,2010-03-07T12:25:00Z,1.25,14877,United Kingdom,2.5,10,3,2010
515180,22424,ENAMEL BREAD BIN CREAM,8,2010-07-08T19:05:00Z,10.95,16713,United Kingdom,87.6,27,7,2010
